Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global,Detecciones
5,0.1,85,0.011764705882352941,8,12,11,17,3,0.375,5,0.4166666666666667,0.4,28
5,0.1,95,0.010526315789473684,8,12,7,23,1,0.125,11,0.9166666666666666,0.5,33
5,0.1,115,0.008695652173913044,8,12,7,23,1,0.125,11,0.9166666666666666,0.5,31
5,0.1,127,0.007874015748031496,8,12,9,16,1,0.125,4,0.3333333333333333,0.25,27
5,0.1,135,0.007407407407407408,8,12,10,13,2,0.25,1,0.08333333333333333,0.15,28
5,0.2,85,0.011764705882352941,8,12,11,17,3,0.375,5,0.4166666666666667,0.4,28
5,0.2,95,0.010526315789473684,8,12,7,23,1,0.125,11,0.9166666666666666,0.5,33
5,0.2,115,0.008695652173913044,8,12,7,23,1,0.125,11,0.9166666666666666,0.5,31
5,0.2,127,0.007874015748031496,8,12,9,16,1,0.125,4,0.3333333333333333,0.25,27
5,0.2,135,0.007407407407407408,8,12,10,13,2,0.25,1,0.08333333333333333,0.15,28
5,0.3,85,0.011764705882352941,8,12,4,21,4,0.5,9,0.75,0.25,25
5,0.3,95,0.010526315789473684,8,12,8,20,0,0.0,8,0.6666666666666666,0.4,31
5,0.3,115,0.008695652173913044,8,12,7,15,1,0.125,3,0.25,0.1,26
5,0.3,127,0.007874015748031496,8,12,11,11,3,0.375,1,0.08333333333333333,0.1,25
5,0.3,135,0.007407407407407408,8,12,9,13,1,0.125,1,0.08333333333333333,0.1,25
5,0.4,85,0.011764705882352941,8,12,10,16,2,0.25,4,0.3333333333333333,0.3,26
5,0.4,95,0.010526315789473684,8,12,10,15,2,0.25,3,0.25,0.25,27
5,0.4,115,0.008695652173913044,8,12,7,18,1,0.125,6,0.5,0.25,26
5,0.4,127,0.007874015748031496,8,12,8,16,0,0.0,4,0.3333333333333333,0.2,26
5,0.4,135,0.007407407407407408,8,12,9,13,1,0.125,1,0.08333333333333333,0.1,23
15,0.1,85,0.011764705882352941,8,12,9,22,1,0.125,10,0.8333333333333334,0.55,32
15,0.1,95,0.010526315789473684,8,12,11,19,3,0.375,7,0.5833333333333334,0.5,35
15,0.1,115,0.008695652173913044,8,12,13,10,5,0.625,2,0.16666666666666666,0.15,28
15,0.1,127,0.007874015748031496,8,12,10,10,2,0.25,2,0.16666666666666666,0.0,21
15,0.1,135,0.007407407407407408,8,12,16,12,8,1.0,0,0.0,0.4,30
15,0.2,85,0.011764705882352941,8,12,9,22,1,0.125,10,0.8333333333333334,0.55,32
15,0.2,95,0.010526315789473684,8,12,11,19,3,0.375,7,0.5833333333333334,0.5,35
15,0.2,115,0.008695652173913044,8,12,13,10,5,0.625,2,0.16666666666666666,0.15,28
15,0.2,127,0.007874015748031496,8,12,10,10,2,0.25,2,0.16666666666666666,0.0,21
15,0.2,135,0.007407407407407408,8,12,16,12,8,1.0,0,0.0,0.4,30
15,0.3,85,0.011764705882352941,8,12,9,23,1,0.125,11,0.9166666666666666,0.6,35
15,0.3,95,0.010526315789473684,8,12,11,13,3,0.375,1,0.08333333333333333,0.2,25
15,0.3,115,0.008695652173913044,8,12,11,9,3,0.375,3,0.25,0.0,24
15,0.3,127,0.007874015748031496,8,12,11,8,3,0.375,4,0.3333333333333333,0.05,22
15,0.3,135,0.007407407407407408,8,12,14,8,6,0.75,4,0.3333333333333333,0.1,24
15,0.4,85,0.011764705882352941,8,12,7,15,1,0.125,3,0.25,0.1,25
15,0.4,95,0.010526315789473684,8,12,10,12,2,0.25,0,0.0,0.1,24
15,0.4,115,0.008695652173913044,8,12,11,7,3,0.375,5,0.4166666666666667,0.1,18
15,0.4,127,0.007874015748031496,8,12,11,9,3,0.375,3,0.25,0.0,20
15,0.4,135,0.007407407407407408,8,12,12,11,4,0.5,1,0.08333333333333333,0.15,25
20,0.1,85,0.011764705882352941,8,12,12,24,4,0.5,12,1.0,0.8,41
20,0.1,95,0.010526315789473684,8,12,12,24,4,0.5,12,1.0,0.8,37
20,0.1,115,0.008695652173913044,8,12,12,19,4,0.5,7,0.5833333333333334,0.55,32
20,0.1,127,0.007874015748031496,8,12,10,13,2,0.25,1,0.08333333333333333,0.15,24
20,0.1,135,0.007407407407407408,8,12,12,9,4,0.5,3,0.25,0.05,23
20,0.2,85,0.011764705882352941,8,12,12,24,4,0.5,12,1.0,0.8,41
20,0.2,95,0.010526315789473684,8,12,12,24,4,0.5,12,1.0,0.8,37
20,0.2,115,0.008695652173913044,8,12,12,19,4,0.5,7,0.5833333333333334,0.55,32
20,0.2,127,0.007874015748031496,8,12,10,13,2,0.25,1,0.08333333333333333,0.15,24
20,0.2,135,0.007407407407407408,8,12,12,9,4,0.5,3,0.25,0.05,23
20,0.3,85,0.011764705882352941,8,12,11,19,3,0.375,7,0.5833333333333334,0.5,31
20,0.3,95,0.010526315789473684,8,12,12,15,4,0.5,3,0.25,0.35,27
20,0.3,115,0.008695652173913044,8,12,9,14,1,0.125,2,0.16666666666666666,0.15,24
20,0.3,127,0.007874015748031496,8,12,9,11,1,0.125,1,0.08333333333333333,0.0,22
20,0.3,135,0.007407407407407408,8,12,11,10,3,0.375,2,0.16666666666666666,0.05,22
20,0.4,85,0.011764705882352941,8,12,11,13,3,0.375,1,0.08333333333333333,0.2,26
20,0.4,95,0.010526315789473684,8,12,11,12,3,0.375,0,0.0,0.15,25
20,0.4,115,0.008695652173913044,8,12,8,9,0,0.0,3,0.25,0.15,17
20,0.4,127,0.007874015748031496,8,12,8,11,0,0.0,1,0.08333333333333333,0.05,20
20,0.4,135,0.007407407407407408,8,12,5,13,3,0.375,1,0.08333333333333333,0.1,21
25,0.1,85,0.011764705882352941,8,12,8,21,0,0.0,9,0.75,0.45,31
25,0.1,95,0.010526315789473684,8,12,6,17,2,0.25,5,0.4166666666666667,0.15,26
25,0.1,115,0.008695652173913044,8,12,7,19,1,0.125,7,0.5833333333333334,0.3,31
25,0.1,127,0.007874015748031496,8,12,8,13,0,0.0,1,0.08333333333333333,0.05,22
25,0.1,135,0.007407407407407408,8,12,9,13,1,0.125,1,0.08333333333333333,0.1,22
25,0.2,85,0.011764705882352941,8,12,8,21,0,0.0,9,0.75,0.45,31
25,0.2,95,0.010526315789473684,8,12,6,17,2,0.25,5,0.4166666666666667,0.15,26
25,0.2,115,0.008695652173913044,8,12,7,19,1,0.125,7,0.5833333333333334,0.3,31
25,0.2,127,0.007874015748031496,8,12,8,13,0,0.0,1,0.08333333333333333,0.05,22
25,0.2,135,0.007407407407407408,8,12,9,13,1,0.125,1,0.08333333333333333,0.1,22
25,0.3,85,0.011764705882352941,8,12,7,21,1,0.125,9,0.75,0.4,29
25,0.3,95,0.010526315789473684,8,12,8,15,0,0.0,3,0.25,0.15,24
25,0.3,115,0.008695652173913044,8,12,10,16,2,0.25,4,0.3333333333333333,0.3,28
25,0.3,127,0.007874015748031496,8,12,9,12,1,0.125,0,0.0,0.05,22
25,0.3,135,0.007407407407407408,8,12,11,10,3,0.375,2,0.16666666666666666,0.05,23
25,0.4,85,0.011764705882352941,8,12,9,12,1,0.125,0,0.0,0.05,23
25,0.4,95,0.010526315789473684,8,12,7,15,1,0.125,3,0.25,0.1,24
25,0.4,115,0.008695652173913044,8,12,7,14,1,0.125,2,0.16666666666666666,0.05,21
25,0.4,127,0.007874015748031496,8,12,9,12,1,0.125,0,0.0,0.05,20
25,0.4,135,0.007407407407407408,8,12,5,12,3,0.375,0,0.0,0.15,18
30,0.1,85,0.011764705882352941,8,12,6,24,2,0.25,12,1.0,0.5,30
30,0.1,95,0.010526315789473684,8,12,8,18,0,0.0,6,0.5,0.3,28
30,0.1,115,0.008695652173913044,8,12,14,16,6,0.75,4,0.3333333333333333,0.5,30
30,0.1,127,0.007874015748031496,8,12,13,10,5,0.625,2,0.16666666666666666,0.15,23
30,0.1,135,0.007407407407407408,8,12,9,11,1,0.125,1,0.08333333333333333,0.0,21
30,0.2,85,0.011764705882352941,8,12,6,24,2,0.25,12,1.0,0.5,30
30,0.2,95,0.010526315789473684,8,12,8,18,0,0.0,6,0.5,0.3,28
30,0.2,115,0.008695652173913044,8,12,14,16,6,0.75,4,0.3333333333333333,0.5,30
30,0.2,127,0.007874015748031496,8,12,13,10,5,0.625,2,0.16666666666666666,0.15,23
30,0.2,135,0.007407407407407408,8,12,9,11,1,0.125,1,0.08333333333333333,0.0,21
30,0.3,85,0.011764705882352941,8,12,7,19,1,0.125,7,0.5833333333333334,0.3,27
30,0.3,95,0.010526315789473684,8,12,5,16,3,0.375,4,0.3333333333333333,0.05,23
30,0.3,115,0.008695652173913044,8,12,13,10,5,0.625,2,0.16666666666666666,0.15,25
30,0.3,127,0.007874015748031496,8,12,9,9,1,0.125,3,0.25,0.1,18
30,0.3,135,0.007407407407407408,8,12,9,11,1,0.125,1,0.08333333333333333,0.0,19
30,0.4,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2,17
30,0.4,95,0.010526315789473684,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
30,0.4,115,0.008695652173913044,8,12,10,11,2,0.25,1,0.08333333333333333,0.05,20
30,0.4,127,0.007874015748031496,8,12,11,10,3,0.375,2,0.16666666666666666,0.05,20
30,0.4,135,0.007407407407407408,8,12,9,10,1,0.125,2,0.16666666666666666,0.05,18
