Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global,Detecciones
5,0.1,85,0.011764705882352941,8,12,7,12,1,0.125,0,0.0,0.05,19
5,0.1,95,0.010526315789473684,8,12,5,12,3,0.375,0,0.0,0.15,19
5,0.1,115,0.008695652173913044,8,12,5,11,3,0.375,1,0.08333333333333333,0.2,18
5,0.1,127,0.007874015748031496,8,12,4,12,4,0.5,0,0.0,0.2,17
5,0.1,135,0.007407407407407408,8,12,7,11,1,0.125,1,0.08333333333333333,0.1,19
5,0.2,85,0.011764705882352941,8,12,7,12,1,0.125,0,0.0,0.05,19
5,0.2,95,0.010526315789473684,8,12,5,12,3,0.375,0,0.0,0.15,19
5,0.2,115,0.008695652173913044,8,12,5,11,3,0.375,1,0.08333333333333333,0.2,18
5,0.2,127,0.007874015748031496,8,12,4,12,4,0.5,0,0.0,0.2,17
5,0.2,135,0.007407407407407408,8,12,7,11,1,0.125,1,0.08333333333333333,0.1,19
5,0.3,85,0.011764705882352941,8,12,6,12,2,0.25,0,0.0,0.1,17
5,0.3,95,0.010526315789473684,8,12,6,11,2,0.25,1,0.08333333333333333,0.15,16
5,0.3,115,0.008695652173913044,8,12,4,13,4,0.5,1,0.08333333333333333,0.15,18
5,0.3,127,0.007874015748031496,8,12,6,13,2,0.25,1,0.08333333333333333,0.05,19
5,0.3,135,0.007407407407407408,8,12,6,13,2,0.25,1,0.08333333333333333,0.05,19
5,0.4,85,0.011764705882352941,8,12,4,13,4,0.5,1,0.08333333333333333,0.15,16
5,0.4,95,0.010526315789473684,8,12,5,12,3,0.375,0,0.0,0.15,17
5,0.4,115,0.008695652173913044,8,12,5,13,3,0.375,1,0.08333333333333333,0.1,19
5,0.4,127,0.007874015748031496,8,12,6,13,2,0.25,1,0.08333333333333333,0.05,19
5,0.4,135,0.007407407407407408,8,12,5,13,3,0.375,1,0.08333333333333333,0.1,20
15,0.1,85,0.011764705882352941,8,12,4,11,4,0.5,1,0.08333333333333333,0.25,17
15,0.1,95,0.010526315789473684,8,12,8,9,0,0.0,3,0.25,0.15,17
15,0.1,115,0.008695652173913044,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.1,127,0.007874015748031496,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.1,135,0.007407407407407408,8,12,9,10,1,0.125,2,0.16666666666666666,0.05,21
15,0.2,85,0.011764705882352941,8,12,4,11,4,0.5,1,0.08333333333333333,0.25,17
15,0.2,95,0.010526315789473684,8,12,8,9,0,0.0,3,0.25,0.15,17
15,0.2,115,0.008695652173913044,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.2,127,0.007874015748031496,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.2,135,0.007407407407407408,8,12,9,10,1,0.125,2,0.16666666666666666,0.05,21
15,0.3,85,0.011764705882352941,8,12,7,11,1,0.125,1,0.08333333333333333,0.1,18
15,0.3,95,0.010526315789473684,8,12,8,8,0,0.0,4,0.3333333333333333,0.2,17
15,0.3,115,0.008695652173913044,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.3,127,0.007874015748031496,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.3,135,0.007407407407407408,8,12,9,10,1,0.125,2,0.16666666666666666,0.05,21
15,0.4,85,0.011764705882352941,8,12,6,9,2,0.25,3,0.25,0.25,16
15,0.4,95,0.010526315789473684,8,12,6,9,2,0.25,3,0.25,0.25,16
15,0.4,115,0.008695652173913044,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.4,127,0.007874015748031496,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,19
15,0.4,135,0.007407407407407408,8,12,9,8,1,0.125,4,0.3333333333333333,0.15,20
20,0.1,85,0.011764705882352941,8,12,7,10,1,0.125,2,0.16666666666666666,0.15,16
20,0.1,95,0.010526315789473684,8,12,8,8,0,0.0,4,0.3333333333333333,0.2,16
20,0.1,115,0.008695652173913044,8,12,9,8,1,0.125,4,0.3333333333333333,0.15,16
20,0.1,127,0.007874015748031496,8,12,9,8,1,0.125,4,0.3333333333333333,0.15,16
20,0.1,135,0.007407407407407408,8,12,11,8,3,0.375,4,0.3333333333333333,0.05,19
20,0.2,85,0.011764705882352941,8,12,7,10,1,0.125,2,0.16666666666666666,0.15,16
20,0.2,95,0.010526315789473684,8,12,8,8,0,0.0,4,0.3333333333333333,0.2,16
20,0.2,115,0.008695652173913044,8,12,9,8,1,0.125,4,0.3333333333333333,0.15,16
20,0.2,127,0.007874015748031496,8,12,9,8,1,0.125,4,0.3333333333333333,0.15,16
20,0.2,135,0.007407407407407408,8,12,11,8,3,0.375,4,0.3333333333333333,0.05,19
20,0.3,85,0.011764705882352941,8,12,7,9,1,0.125,3,0.25,0.2,16
20,0.3,95,0.010526315789473684,8,12,6,9,2,0.25,3,0.25,0.25,15
20,0.3,115,0.008695652173913044,8,12,9,8,1,0.125,4,0.3333333333333333,0.15,16
20,0.3,127,0.007874015748031496,8,12,7,8,1,0.125,4,0.3333333333333333,0.25,14
20,0.3,135,0.007407407407407408,8,12,7,9,1,0.125,3,0.25,0.2,17
20,0.4,85,0.011764705882352941,8,12,6,6,2,0.25,6,0.5,0.4,13
20,0.4,95,0.010526315789473684,8,12,6,8,2,0.25,4,0.3333333333333333,0.3,14
20,0.4,115,0.008695652173913044,8,12,6,9,2,0.25,3,0.25,0.25,15
20,0.4,127,0.007874015748031496,8,12,6,9,2,0.25,3,0.25,0.25,16
20,0.4,135,0.007407407407407408,8,12,6,9,2,0.25,3,0.25,0.25,16
25,0.1,85,0.011764705882352941,8,12,7,9,1,0.125,3,0.25,0.2,15
25,0.1,95,0.010526315789473684,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,17
25,0.1,115,0.008695652173913044,8,12,8,9,0,0.0,3,0.25,0.15,17
25,0.1,127,0.007874015748031496,8,12,8,9,0,0.0,3,0.25,0.15,17
25,0.1,135,0.007407407407407408,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,18
25,0.2,85,0.011764705882352941,8,12,7,9,1,0.125,3,0.25,0.2,15
25,0.2,95,0.010526315789473684,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,17
25,0.2,115,0.008695652173913044,8,12,8,9,0,0.0,3,0.25,0.15,17
25,0.2,127,0.007874015748031496,8,12,8,9,0,0.0,3,0.25,0.15,17
25,0.2,135,0.007407407407407408,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,18
25,0.3,85,0.011764705882352941,8,12,6,9,2,0.25,3,0.25,0.25,14
25,0.3,95,0.010526315789473684,8,12,8,10,0,0.0,2,0.16666666666666666,0.1,17
25,0.3,115,0.008695652173913044,8,12,6,9,2,0.25,3,0.25,0.25,15
25,0.3,127,0.007874015748031496,8,12,6,9,2,0.25,3,0.25,0.25,15
25,0.3,135,0.007407407407407408,8,12,6,10,2,0.25,2,0.16666666666666666,0.2,16
25,0.4,85,0.011764705882352941,8,12,5,9,3,0.375,3,0.25,0.3,14
25,0.4,95,0.010526315789473684,8,12,5,10,3,0.375,2,0.16666666666666666,0.25,15
25,0.4,115,0.008695652173913044,8,12,4,9,4,0.5,3,0.25,0.35,13
25,0.4,127,0.007874015748031496,8,12,5,9,3,0.375,3,0.25,0.3,13
25,0.4,135,0.007407407407407408,8,12,6,8,2,0.25,4,0.3333333333333333,0.3,13
30,0.1,85,0.011764705882352941,8,12,5,12,3,0.375,0,0.0,0.15,17
30,0.1,95,0.010526315789473684,8,12,6,12,2,0.25,0,0.0,0.1,17
30,0.1,115,0.008695652173913044,8,12,6,10,2,0.25,2,0.16666666666666666,0.2,16
30,0.1,127,0.007874015748031496,8,12,8,9,0,0.0,3,0.25,0.15,17
30,0.1,135,0.007407407407407408,8,12,6,10,2,0.25,2,0.16666666666666666,0.2,16
30,0.2,85,0.011764705882352941,8,12,5,12,3,0.375,0,0.0,0.15,17
