Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global,Detecciones
5,0.1,85,0.011764705882352941,6,6,5,7,1,0.16666666666666666,1,0.16666666666666666,0.0,11
5,0.1,95,0.010526315789473684,6,6,6,6,0,0.0,0,0.0,0.0,11
5,0.1,115,0.008695652173913044,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.1,127,0.007874015748031496,6,6,10,2,4,0.6666666666666666,4,0.6666666666666666,0.0,11
5,0.1,135,0.007407407407407408,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.2,85,0.011764705882352941,6,6,5,7,1,0.16666666666666666,1,0.16666666666666666,0.0,11
5,0.2,95,0.010526315789473684,6,6,6,6,0,0.0,0,0.0,0.0,11
5,0.2,115,0.008695652173913044,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.2,127,0.007874015748031496,6,6,10,2,4,0.6666666666666666,4,0.6666666666666666,0.0,11
5,0.2,135,0.007407407407407408,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.3,85,0.011764705882352941,6,6,5,7,1,0.16666666666666666,1,0.16666666666666666,0.0,11
5,0.3,95,0.010526315789473684,6,6,6,6,0,0.0,0,0.0,0.0,11
5,0.3,115,0.008695652173913044,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.3,127,0.007874015748031496,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.3,135,0.007407407407407408,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.4,85,0.011764705882352941,6,6,6,6,0,0.0,0,0.0,0.0,11
5,0.4,95,0.010526315789473684,6,6,7,5,1,0.16666666666666666,1,0.16666666666666666,0.0,11
5,0.4,115,0.008695652173913044,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.4,127,0.007874015748031496,6,6,9,3,3,0.5,3,0.5,0.0,11
5,0.4,135,0.007407407407407408,6,6,9,2,3,0.5,4,0.6666666666666666,0.08333333333333333,10
15,0.1,85,0.011764705882352941,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.1,95,0.010526315789473684,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.1,115,0.008695652173913044,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.1,127,0.007874015748031496,6,6,9,3,3,0.5,3,0.5,0.0,11
15,0.1,135,0.007407407407407408,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.2,85,0.011764705882352941,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.2,95,0.010526315789473684,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.2,115,0.008695652173913044,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.2,127,0.007874015748031496,6,6,9,3,3,0.5,3,0.5,0.0,11
15,0.2,135,0.007407407407407408,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.3,85,0.011764705882352941,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.3,95,0.010526315789473684,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.3,115,0.008695652173913044,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.3,127,0.007874015748031496,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.3,135,0.007407407407407408,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.4,85,0.011764705882352941,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.4,95,0.010526315789473684,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
15,0.4,115,0.008695652173913044,6,6,8,4,2,0.3333333333333333,2,0.3333333333333333,0.0,11
15,0.4,127,0.007874015748031496,6,6,8,5,2,0.3333333333333333,1,0.16666666666666666,0.08333333333333333,12
15,0.4,135,0.007407407407407408,6,6,8,5,2,0.3333333333333333,1,0.16666666666666666,0.08333333333333333,12
20,0.1,85,0.011764705882352941,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.1,95,0.010526315789473684,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.1,115,0.008695652173913044,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.1,127,0.007874015748031496,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.1,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.2,85,0.011764705882352941,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.2,95,0.010526315789473684,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.2,115,0.008695652173913044,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.2,127,0.007874015748031496,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.2,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.3,85,0.011764705882352941,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.3,95,0.010526315789473684,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.3,115,0.008695652173913044,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.3,127,0.007874015748031496,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.3,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
