Skip Frames;Confidence Config;Media;Factor_escala;Count In Real;Count Out Real;Count In Estimated;Count Out Estimated;Error In Abs;Error In Rel;Error Out Abs;Error Out Rel
5;0.1;45;0.022222222222222223;8;12;5;8;3;0.375;4;0.3333333333333333
5;0.1;65;0.015384615384615385;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.1;75;0.013333333333333334;8;12;6;9;2;0.25;3;0.25
5;0.1;85;0.011764705882352941;8;12;12;8;4;0.5;4;0.3333333333333333
5;0.1;95;0.010526315789473684;8;12;8;7;0;0.0;5;0.4166666666666667
5;0.1;115;0.008695652173913044;8;12;8;9;0;0.0;3;0.25
5;0.1;127.5;0.00784313725490196;8;12;6;9;2;0.25;3;0.25
5;0.1;135;0.007407407407407408;8;12;10;9;2;0.25;3;0.25
5;0.1;155;0.0064516129032258064;8;12;8;9;0;0.0;3;0.25
5;0.1;175;0.005714285714285714;8;12;8;8;0;0.0;4;0.3333333333333333
5;0.1;215;0.004651162790697674;8;12;6;6;2;0.25;6;0.5
5;0.1;245;0.004081632653061225;8;12;4;9;4;0.5;3;0.25
5;0.15;45;0.022222222222222223;8;12;5;8;3;0.375;4;0.3333333333333333
5;0.15;65;0.015384615384615385;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.15;75;0.013333333333333334;8;12;6;9;2;0.25;3;0.25
5;0.15;85;0.011764705882352941;8;12;12;8;4;0.5;4;0.3333333333333333
5;0.15;95;0.010526315789473684;8;12;8;7;0;0.0;5;0.4166666666666667
5;0.15;115;0.008695652173913044;8;12;8;9;0;0.0;3;0.25
5;0.15;127.5;0.00784313725490196;8;12;6;9;2;0.25;3;0.25
5;0.15;135;0.007407407407407408;8;12;10;9;2;0.25;3;0.25
5;0.15;155;0.0064516129032258064;8;12;8;9;0;0.0;3;0.25
5;0.15;175;0.005714285714285714;8;12;8;8;0;0.0;4;0.3333333333333333
5;0.15;215;0.004651162790697674;8;12;6;6;2;0.25;6;0.5
5;0.15;245;0.004081632653061225;8;12;4;9;4;0.5;3;0.25
5;0.2;45;0.022222222222222223;8;12;5;8;3;0.375;4;0.3333333333333333
5;0.2;65;0.015384615384615385;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.2;75;0.013333333333333334;8;12;6;9;2;0.25;3;0.25
5;0.2;85;0.011764705882352941;8;12;12;8;4;0.5;4;0.3333333333333333
5;0.2;95;0.010526315789473684;8;12;8;7;0;0.0;5;0.4166666666666667
5;0.2;115;0.008695652173913044;8;12;8;9;0;0.0;3;0.25
5;0.2;127.5;0.00784313725490196;8;12;6;9;2;0.25;3;0.25
5;0.2;135;0.007407407407407408;8;12;10;9;2;0.25;3;0.25
5;0.2;155;0.0064516129032258064;8;12;8;9;0;0.0;3;0.25
5;0.2;175;0.005714285714285714;8;12;8;8;0;0.0;4;0.3333333333333333
5;0.2;215;0.004651162790697674;8;12;6;6;2;0.25;6;0.5
5;0.2;245;0.004081632653061225;8;12;4;9;4;0.5;3;0.25
5;0.25;45;0.022222222222222223;8;12;5;8;3;0.375;4;0.3333333333333333
5;0.25;65;0.015384615384615385;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.25;75;0.013333333333333334;8;12;6;9;2;0.25;3;0.25
5;0.25;85;0.011764705882352941;8;12;12;8;4;0.5;4;0.3333333333333333
5;0.25;95;0.010526315789473684;8;12;8;7;0;0.0;5;0.4166666666666667
5;0.25;115;0.008695652173913044;8;12;8;9;0;0.0;3;0.25
