Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
5,0.1,85,0.011764705882352941,8,12,14,6,6,0.75,6,0.5,0.0
5,0.1,95,0.010526315789473684,8,12,10,7,2,0.25,5,0.4166666666666667,0.15
5,0.1,115,0.008695652173913044,8,12,9,8,1,0.125,4,0.3333333333333333,0.15
5,0.1,127,0.007874015748031496,8,12,7,8,1,0.125,4,0.3333333333333333,0.25
5,0.1,135,0.007407407407407408,8,12,10,9,2,0.25,3,0.25,0.05
5,0.2,85,0.011764705882352941,8,12,14,6,6,0.75,6,0.5,0.0
5,0.2,95,0.010526315789473684,8,12,10,7,2,0.25,5,0.4166666666666667,0.15
5,0.2,115,0.008695652173913044,8,12,9,8,1,0.125,4,0.3333333333333333,0.15
5,0.2,127,0.007874015748031496,8,12,7,8,1,0.125,4,0.3333333333333333,0.25
5,0.2,135,0.007407407407407408,8,12,10,9,2,0.25,3,0.25,0.05
5,0.3,85,0.011764705882352941,8,12,11,7,3,0.375,5,0.4166666666666667,0.1
5,0.3,95,0.010526315789473684,8,12,10,6,2,0.25,6,0.5,0.2
5,0.3,115,0.008695652173913044,8,12,7,9,1,0.125,3,0.25,0.2
5,0.3,127,0.007874015748031496,8,12,9,9,1,0.125,3,0.25,0.1
5,0.3,135,0.007407407407407408,8,12,7,10,1,0.125,2,0.16666666666666666,0.15
5,0.4,85,0.011764705882352941,8,12,8,9,0,0.0,3,0.25,0.15
5,0.4,95,0.010526315789473684,8,12,9,9,1,0.125,3,0.25,0.1
5,0.4,115,0.008695652173913044,8,12,8,9,0,0.0,3,0.25,0.15
5,0.4,127,0.007874015748031496,8,12,9,9,1,0.125,3,0.25,0.1
5,0.4,135,0.007407407407407408,8,12,7,11,1,0.125,1,0.08333333333333333,0.1
15,0.1,85,0.011764705882352941,8,12,9,6,1,0.125,6,0.5,0.25
15,0.1,95,0.010526315789473684,8,12,12,6,4,0.5,6,0.5,0.1
15,0.1,115,0.008695652173913044,8,12,13,7,5,0.625,5,0.4166666666666667,0.0
15,0.1,127,0.007874015748031496,8,12,10,9,2,0.25,3,0.25,0.05
15,0.1,135,0.007407407407407408,8,12,12,9,4,0.5,3,0.25,0.05
15,0.2,85,0.011764705882352941,8,12,9,6,1,0.125,6,0.5,0.25
15,0.2,95,0.010526315789473684,8,12,12,6,4,0.5,6,0.5,0.1
15,0.2,115,0.008695652173913044,8,12,13,7,5,0.625,5,0.4166666666666667,0.0
15,0.2,127,0.007874015748031496,8,12,10,9,2,0.25,3,0.25,0.05
15,0.2,135,0.007407407407407408,8,12,12,9,4,0.5,3,0.25,0.05
15,0.3,85,0.011764705882352941,8,12,12,7,4,0.5,5,0.4166666666666667,0.05
15,0.3,95,0.010526315789473684,8,12,12,6,4,0.5,6,0.5,0.1
15,0.3,115,0.008695652173913044,8,12,12,8,4,0.5,4,0.3333333333333333,0.0
15,0.3,127,0.007874015748031496,8,12,10,9,2,0.25,3,0.25,0.05
15,0.3,135,0.007407407407407408,8,12,12,9,4,0.5,3,0.25,0.05
15,0.4,85,0.011764705882352941,8,12,12,5,4,0.5,7,0.5833333333333334,0.15
15,0.4,95,0.010526315789473684,8,12,9,8,1,0.125,4,0.3333333333333333,0.15
15,0.4,115,0.008695652173913044,8,12,12,8,4,0.5,4,0.3333333333333333,0.0
15,0.4,127,0.007874015748031496,8,12,10,9,2,0.25,3,0.25,0.05
15,0.4,135,0.007407407407407408,8,12,12,7,4,0.5,5,0.4166666666666667,0.05
20,0.1,85,0.011764705882352941,8,12,10,7,2,0.25,5,0.4166666666666667,0.15
20,0.1,95,0.010526315789473684,8,12,11,6,3,0.375,6,0.5,0.15
20,0.1,115,0.008695652173913044,8,12,12,5,4,0.5,7,0.5833333333333334,0.15
20,0.1,127,0.007874015748031496,8,12,10,7,2,0.25,5,0.4166666666666667,0.15
20,0.1,135,0.007407407407407408,8,12,12,7,4,0.5,5,0.4166666666666667,0.05
20,0.2,85,0.011764705882352941,8,12,10,7,2,0.25,5,0.4166666666666667,0.15
20,0.2,95,0.010526315789473684,8,12,11,6,3,0.375,6,0.5,0.15
20,0.2,115,0.008695652173913044,8,12,12,5,4,0.5,7,0.5833333333333334,0.15
20,0.2,127,0.007874015748031496,8,12,10,7,2,0.25,5,0.4166666666666667,0.15
20,0.2,135,0.007407407407407408,8,12,12,7,4,0.5,5,0.4166666666666667,0.05
20,0.3,85,0.011764705882352941,8,12,9,7,1,0.125,5,0.4166666666666667,0.2
20,0.3,95,0.010526315789473684,8,12,9,7,1,0.125,5,0.4166666666666667,0.2
20,0.3,115,0.008695652173913044,8,12,12,5,4,0.5,7,0.5833333333333334,0.15
20,0.3,127,0.007874015748031496,8,12,8,7,0,0.0,5,0.4166666666666667,0.25
20,0.3,135,0.007407407407407408,8,12,9,8,1,0.125,4,0.3333333333333333,0.15
20,0.4,85,0.011764705882352941,8,12,9,4,1,0.125,8,0.6666666666666666,0.35
20,0.4,95,0.010526315789473684,8,12,9,6,1,0.125,6,0.5,0.25
20,0.4,115,0.008695652173913044,8,12,9,6,1,0.125,6,0.5,0.25
20,0.4,127,0.007874015748031496,8,12,8,8,0,0.0,4,0.3333333333333333,0.2
20,0.4,135,0.007407407407407408,8,12,8,8,0,0.0,4,0.3333333333333333,0.2
25,0.1,85,0.011764705882352941,8,12,12,4,4,0.5,8,0.6666666666666666,0.2
25,0.1,95,0.010526315789473684,8,12,12,6,4,0.5,6,0.5,0.1
