Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
5,0.1,45,0.022222222222222223,8,12,1,11,7,0.875,1,0.08333333333333333,0.4
5,0.1,65,0.015384615384615385,8,12,1,12,7,0.875,0,0.0,0.35
5,0.1,85,0.011764705882352941,8,12,4,13,4,0.5,1,0.08333333333333333,0.15
5,0.1,95,0.010526315789473684,8,12,4,13,4,0.5,1,0.08333333333333333,0.15
5,0.1,115,0.008695652173913044,8,12,2,13,6,0.75,1,0.08333333333333333,0.25
5,0.1,135,0.007407407407407408,8,12,4,12,4,0.5,0,0.0,0.2
5,0.1,185,0.005405405405405406,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
5,0.2,45,0.022222222222222223,8,12,1,11,7,0.875,1,0.08333333333333333,0.4
5,0.2,65,0.015384615384615385,8,12,1,12,7,0.875,0,0.0,0.35
5,0.2,85,0.011764705882352941,8,12,4,13,4,0.5,1,0.08333333333333333,0.15
5,0.2,95,0.010526315789473684,8,12,4,13,4,0.5,1,0.08333333333333333,0.15
5,0.2,115,0.008695652173913044,8,12,2,13,6,0.75,1,0.08333333333333333,0.25
5,0.2,135,0.007407407407407408,8,12,4,12,4,0.5,0,0.0,0.2
5,0.2,185,0.005405405405405406,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
5,0.3,45,0.022222222222222223,8,12,2,10,6,0.75,2,0.16666666666666666,0.4
5,0.3,65,0.015384615384615385,8,12,2,12,6,0.75,0,0.0,0.3
5,0.3,85,0.011764705882352941,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
5,0.3,95,0.010526315789473684,8,12,4,12,4,0.5,0,0.0,0.2
5,0.3,115,0.008695652173913044,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
5,0.3,135,0.007407407407407408,8,12,3,14,5,0.625,2,0.16666666666666666,0.15
5,0.3,185,0.005405405405405406,8,12,2,9,6,0.75,3,0.25,0.45
5,0.4,45,0.022222222222222223,8,12,2,11,6,0.75,1,0.08333333333333333,0.35
5,0.4,65,0.015384615384615385,8,12,2,12,6,0.75,0,0.0,0.3
5,0.4,85,0.011764705882352941,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
5,0.4,95,0.010526315789473684,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
5,0.4,115,0.008695652173913044,8,12,4,14,4,0.5,2,0.16666666666666666,0.1
5,0.4,135,0.007407407407407408,8,12,2,16,6,0.75,4,0.3333333333333333,0.1
5,0.4,185,0.005405405405405406,8,12,2,9,6,0.75,3,0.25,0.45
5,0.5,45,0.022222222222222223,8,12,2,10,6,0.75,2,0.16666666666666666,0.4
5,0.5,65,0.015384615384615385,8,12,1,11,7,0.875,1,0.08333333333333333,0.4
5,0.5,85,0.011764705882352941,8,12,2,10,6,0.75,2,0.16666666666666666,0.4
5,0.5,95,0.010526315789473684,8,12,1,12,7,0.875,0,0.0,0.35
5,0.5,115,0.008695652173913044,8,12,5,13,3,0.375,1,0.08333333333333333,0.1
5,0.5,135,0.007407407407407408,8,12,2,11,6,0.75,1,0.08333333333333333,0.35
5,0.5,185,0.005405405405405406,8,12,2,8,6,0.75,4,0.3333333333333333,0.5
10,0.1,45,0.022222222222222223,8,12,3,8,5,0.625,4,0.3333333333333333,0.45
10,0.1,65,0.015384615384615385,8,12,1,10,7,0.875,2,0.16666666666666666,0.45
10,0.1,85,0.011764705882352941,8,12,0,12,8,1.0,0,0.0,0.4
10,0.1,95,0.010526315789473684,8,12,1,14,7,0.875,2,0.16666666666666666,0.25
10,0.1,115,0.008695652173913044,8,12,2,13,6,0.75,1,0.08333333333333333,0.25
10,0.1,135,0.007407407407407408,8,12,2,14,6,0.75,2,0.16666666666666666,0.2
10,0.1,185,0.005405405405405406,8,12,1,13,7,0.875,1,0.08333333333333333,0.3
10,0.2,45,0.022222222222222223,8,12,3,8,5,0.625,4,0.3333333333333333,0.45
