Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
5,0.1,45,0.022222222222222223,12,12,6,17,6,0.5,5,0.4166666666666667,0.041666666666666664
5,0.1,65,0.015384615384615385,12,12,6,11,6,0.5,1,0.08333333333333333,0.2916666666666667
5,0.1,85,0.011764705882352941,12,12,5,16,7,0.5833333333333334,4,0.3333333333333333,0.125
5,0.1,95,0.010526315789473684,12,12,4,17,8,0.6666666666666666,5,0.4166666666666667,0.125
5,0.1,115,0.008695652173913044,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
5,0.1,135,0.007407407407407408,12,12,5,14,7,0.5833333333333334,2,0.16666666666666666,0.20833333333333334
5,0.1,185,0.005405405405405406,12,12,3,13,9,0.75,1,0.08333333333333333,0.3333333333333333
5,0.2,45,0.022222222222222223,12,12,6,17,6,0.5,5,0.4166666666666667,0.041666666666666664
5,0.2,65,0.015384615384615385,12,12,6,11,6,0.5,1,0.08333333333333333,0.2916666666666667
5,0.2,85,0.011764705882352941,12,12,5,16,7,0.5833333333333334,4,0.3333333333333333,0.125
5,0.2,95,0.010526315789473684,12,12,4,17,8,0.6666666666666666,5,0.4166666666666667,0.125
5,0.2,115,0.008695652173913044,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
5,0.2,135,0.007407407407407408,12,12,5,14,7,0.5833333333333334,2,0.16666666666666666,0.20833333333333334
5,0.2,185,0.005405405405405406,12,12,3,13,9,0.75,1,0.08333333333333333,0.3333333333333333
5,0.3,45,0.022222222222222223,12,12,5,15,7,0.5833333333333334,3,0.25,0.16666666666666666
5,0.3,65,0.015384615384615385,12,12,8,9,4,0.3333333333333333,3,0.25,0.2916666666666667
5,0.3,85,0.011764705882352941,12,12,5,15,7,0.5833333333333334,3,0.25,0.16666666666666666
5,0.3,95,0.010526315789473684,12,12,7,16,5,0.4166666666666667,4,0.3333333333333333,0.041666666666666664
5,0.3,115,0.008695652173913044,12,12,6,18,6,0.5,6,0.5,0.0
5,0.3,135,0.007407407407407408,12,12,2,16,10,0.8333333333333334,4,0.3333333333333333,0.25
5,0.3,185,0.005405405405405406,12,12,4,12,8,0.6666666666666666,0,0.0,0.3333333333333333
5,0.4,45,0.022222222222222223,12,12,3,15,9,0.75,3,0.25,0.25
5,0.4,65,0.015384615384615385,12,12,8,11,4,0.3333333333333333,1,0.08333333333333333,0.20833333333333334
5,0.4,85,0.011764705882352941,12,12,6,16,6,0.5,4,0.3333333333333333,0.08333333333333333
5,0.4,95,0.010526315789473684,12,12,5,15,7,0.5833333333333334,3,0.25,0.16666666666666666
5,0.4,115,0.008695652173913044,12,12,6,17,6,0.5,5,0.4166666666666667,0.041666666666666664
5,0.4,135,0.007407407407407408,12,12,4,14,8,0.6666666666666666,2,0.16666666666666666,0.25
5,0.4,185,0.005405405405405406,12,12,5,12,7,0.5833333333333334,0,0.0,0.2916666666666667
5,0.5,45,0.022222222222222223,12,12,3,13,9,0.75,1,0.08333333333333333,0.3333333333333333
5,0.5,65,0.015384615384615385,12,12,8,10,4,0.3333333333333333,2,0.16666666666666666,0.25
5,0.5,85,0.011764705882352941,12,12,3,14,9,0.75,2,0.16666666666666666,0.2916666666666667
5,0.5,95,0.010526315789473684,12,12,6,14,6,0.5,2,0.16666666666666666,0.16666666666666666
5,0.5,115,0.008695652173913044,12,12,5,13,7,0.5833333333333334,1,0.08333333333333333,0.25
5,0.5,135,0.007407407407407408,12,12,3,14,9,0.75,2,0.16666666666666666,0.2916666666666667
5,0.5,185,0.005405405405405406,12,12,2,11,10,0.8333333333333334,1,0.08333333333333333,0.4583333333333333
10,0.1,45,0.022222222222222223,12,12,7,12,5,0.4166666666666667,0,0.0,0.20833333333333334
10,0.1,65,0.015384615384615385,12,12,6,13,6,0.5,1,0.08333333333333333,0.20833333333333334
10,0.1,85,0.011764705882352941,12,12,7,14,5,0.4166666666666667,2,0.16666666666666666,0.125
